motivo,depart,quant_saved,age,saved_formal,incentive,female,married,highschool_completed,reached_b4goal,bolivia,rem_any,provincia,wealthy,puzzle_ica,foto,rem_motive,peru,branch,marketer,joint,joint_single,dc,highint,rewardint,missing_inc,inc_7d,hyperbolic,missing_savamt,missing_havesaved,missing_savedwhere,missing_savwhynot,missing_satisfied,missing_satisfy,missing_regretspend,saved_asmuch,spent_b4isaved,philippines,country,late_rem_any,log_quant_saved,rem_any_peru,rem_any_phil,rem_any_boli,missing_female,missing_age,missing_highschool_completed,missing_married,missing_saved_formal,missing_inc_7d,missing_wealthy,missing_hyperbolic,missing_saved_asmuch,missing_spent_b4isaved,missing_number_account,ivhquant_saved,logalt_quant_saved,gain_rem,loss_rem,noincentive,rem_no_motive,masterid
"OTROS",0,39.2724,32,0,,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,0,842
"EMERGENCIAS, IMPREVISTOS",0,104.7264,38,0,,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.6608548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.344521,4.6514468,0,1,0,0,379
"",0,2.284,33,0,,1,1,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,68.52,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,2811
"EMERGENCIAS, IMPREVISTOS",0,81.8175,70,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.4166393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0976758,4.4046135,0,1,0,1,1392
"OTROS",0,98.181,49,0,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,1,1354
"EMERGENCIAS, IMPREVISTOS",0,39.2724,36,0,,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,1285
"",0,2.284,45,1,,1,1,1,0,0,1,0,1,0,0,0,0,2,8,1,0,0,1,0,0,34.26,0,0,0,0,0,0,0,0,1,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,2871
"",0,2.284,46,1,,1,1,1,0,0,1,0,1,0,0,0,0,3,2,1,0,0,0,1,0,11.42,0,0,0,0,0,0,0,0,1,1,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,10316
"EMERGENCIAS, IMPREVISTOS",0,45.8178,41,0,,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.8462634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5179391,3.8248909,0,1,0,1,1053
"",0,47.17807760742188,28,0,,0,1,0,1,0,1,0,0,0,0,0,0,3,3,1,0,1,0,0,0,11.42,0,0,0,0,0,0,0,0,1,1,1,3,1,3.8749042,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5471888,3.8541412,0,1,0,0,5910
"EMERGENCIAS, IMPREVISTOS",0,98.181,32,0,,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,0,2422
"MEJORAMIENTO DE VIVIENDA",0,39.2724,29,0,,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,2039
"",0,2.284,29,1,,1,1,1,0,0,0,0,1,0,0,0,0,2,8,0,0,0,0,1,0,34.26,0,0,0,0,0,0,0,0,1,1,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,12185
"EMERGENCIAS, IMPREVISTOS",0,39.2724,53,0,,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,989
"",0,78.996021015625,46,1,,1,0,1,0,0,1,0,1,0,0,0,0,2,8,0,1,0,0,1,0,22.84,0,0,0,0,0,0,0,0,1,0,1,3,1,4.3819771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0625849,4.369524,1,0,0,0,12579
"",0,2.284,28,1,,1,1,1,0,0,0,0,1,0,0,0,0,2,8,0,0,1,0,0,0,57.1,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,7896
"EMERGENCIAS, IMPREVISTOS",0,6.5454,55,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.0209382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5776947,1.8802892,1,0,0,1,200
"OTROS",0,26.1816,56,0,,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.3025403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9585686,3.2654388,0,1,0,1,55
"EVENTOS SOCIALES Y FAMILIARES",0,65.45400000000001,33,0,,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.1965098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8745532,4.1815004,1,0,0,1,1527
"EMERGENCIAS, IMPREVISTOS",0,39.2724,21,0,,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,2660
"EMERGENCIAS, IMPREVISTOS",0,39.2724,39,0,,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,2465
"EMERGENCIAS, IMPREVISTOS",0,13.0908,36,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.6455221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2665126,2.5726733,1,0,0,1,2058
"EMERGENCIAS, IMPREVISTOS",0,39.2724,27,0,,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,344
"EDUCACION",0,39.2724,22,0,,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,1076
"EDUCACION",0,39.2724,32,0,,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,0,1252
"IMPLEMENTACION DE NEGOCIO",0,39.2724,19,0,,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,0,1720
"EDUCACION",0,98.181,25,0,,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,1,2355
"EMERGENCIAS, IMPREVISTOS",0,19.6362,21,0,,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.0270469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6711698,2.9778841,0,0,0,0,2361
"",0,236.797134921875,21,1,,1,0,1,1,0,1,0,1,0,0,0,0,2,8,0,0,0,1,0,0,31.976,0,0,0,0,0,0,0,0,1,0,1,3,0,5.4714179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1603556,5.4672461,0,1,0,0,11161
"",0,2.284,32,0,,1,1,1,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,1,0,34.26,0,0,0,0,1,0,0,0,0,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,12421
"IMPLEMENTACION DE NEGOCIO",0,32.727,39,0,,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.5182986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.181581,3.4885058,1,0,0,0,791
"",0,2.284,35,0,,1,1,0,0,0,0,0,1,0,0,0,0,2,15,0,1,0,0,0,0,13.704,0,0,0,0,0,0,0,0,1,1,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,11417
"EDUCACION",0,39.2724,46,0,,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,0,2172
"",0,2.284,34,1,,1,1,1,0,0,0,0,1,0,0,0,0,1,10,1,0,0,0,0,0,114.2,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,3431
"",0,2.284,24,1,,1,0,1,0,0,1,0,1,0,0,0,0,2,6,0,0,1,0,1,0,85.64999999999999,0,0,0,0,0,0,0,0,1,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,9003
"",0,2.284,28,1,,1,1,1,0,0,0,0,1,0,0,0,0,1,11,0,0,0,1,0,0,39.97,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,11541
"EMERGENCIAS, IMPREVISTOS",0,19.6362,24,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.0270469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6711698,2.9778841,0,1,0,1,498
"",0,46.57761311523437,20,0,,1,0,0,1,0,1,0,0,0,0,0,0,3,4,0,0,0,0,1,0,8.565,0,0,0,0,0,0,0,0,1,0,1,3,1,3.8623624,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5343823,3.8413346,0,1,0,0,3185
"",0,2.284,34,0,,1,1,1,0,0,1,0,0,0,0,0,0,1,5,0,1,0,0,0,0,11.42,0,0,0,0,0,0,0,0,0,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1.5638802,.83029699,1,0,0,0,13508
"MEJORAMIENTO DE VIVIENDA",0,78.5448,31,0,,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,1,0,0,0,435
"EMERGENCIAS, IMPREVISTOS",0,196.362,20,0,,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.2850394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,0,1,0,1,1342
"EMERGENCIAS, IMPREVISTOS",0,98.181,26,0,,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.5969462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,0,0,0,0,1361
"OTROS",0,65.45400000000001,24,0,,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.1965098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8745532,4.1815004,0,1,0,1,1442
"EMERGENCIAS, IMPREVISTOS",0,196.362,20,0,,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,5.2850394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,1,0,0,1,1328
"EMERGENCIAS, IMPREVISTOS",0,196.362,63,0,,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.2850394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,1,0,0,0,968
"",0,2.284,36,1,,1,1,0,0,0,1,0,0,0,0,0,0,2,15,0,0,0,1,0,0,6.851999999999999,0,0,0,0,0,0,0,0,1,1,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,11625
"",0,2.284,19,0,,1,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,7118
"",0,8.47364,36,0,,0,1,1,0,0,0,0,1,0,0,0,0,2,15,0,1,0,1,0,0,31.976,0,0,0,0,0,0,0,0,1,1,1,3,0,2.2485132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833571,2.1381395,0,0,0,0,3388
"",0,45.86020793457031,23,1,,1,1,1,1,0,1,0,0,0,0,0,0,3,12,0,0,0,0,0,0,22.84,0,0,0,0,1,0,0,0,0,0,1,3,0,3.8471689,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5188637,3.8258159,0,1,0,0,4517
"EMERGENCIAS, IMPREVISTOS",0,13.0908,64,0,,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.6455221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2665126,2.5726733,1,0,0,1,134
"",0,46.34555793457031,33,0,,1,1,0,1,0,0,0,0,0,0,0,0,1,14,0,0,1,0,1,0,3.426,0,0,0,0,0,0,0,0,1,0,1,3,0,3.8574729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5293889,3.8363411,0,0,0,0,3057
"",0,2.284,23,0,,1,0,0,0,0,1,0,1,0,0,0,0,2,16,1,0,1,0,1,0,3.426,0,0,0,0,0,0,0,0,1,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,12961
"EMERGENCIAS, IMPREVISTOS",0,39.2724,0,0,,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,2371
"EMERGENCIAS, IMPREVISTOS",0,39.2724,48,0,,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,982
"EVENTOS SOCIALES Y FAMILIARES",0,78.5448,33,0,,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,1,0,0,1,1008
"EMERGENCIAS, IMPREVISTOS",0,13.0908,27,0,,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,2.6455221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2665126,2.5726733,1,0,0,1,2706
"",0,2.284,20,0,,1,0,1,0,0,1,0,0,0,0,0,0,2,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,2791
"IMPLEMENTACION DE NEGOCIO",0,19.6362,19,0,,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.0270469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6711698,2.9778841,1,0,0,1,2240
"EMERGENCIAS, IMPREVISTOS",0,196.362,31,0,,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.2850394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,0,1,0,1,2027
"OTROS",0,78.5448,30,0,,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,1,0,0,1,1645
"EMERGENCIAS, IMPREVISTOS",0,98.181,23,0,,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,1,1280
"EDUCACION",0,98.181,0,0,,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,0,1,0,1,2772
"OTROS",0,13.0908,29,0,,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.6455221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2665126,2.5726733,0,1,0,1,482
"EMERGENCIAS, IMPREVISTOS",0,6.5454,31,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.0209382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5776947,1.8802892,1,0,0,1,1509
"EMERGENCIAS, IMPREVISTOS",0,78.5448,36,0,,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,0,1,0,0,925
"EMERGENCIAS, IMPREVISTOS",0,39.2724,22,0,,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,2367
"",0,114.4729424609375,29,1,,1,1,0,1,0,0,0,1,0,0,0,0,2,8,1,0,0,0,1,0,34.26,0,0,0,0,0,0,0,0,1,0,1,3,0,4.7490363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4335046,4.7404261,0,0,0,0,13085
"",0,68.56362239257813,38,1,,1,1,1,1,0,0,0,1,0,0,0,0,1,4,1,0,1,1,0,0,60.15485,0,0,0,0,0,0,0,0,1,1,1,3,0,4.2422419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9209623,4.2279081,0,0,0,0,3358
"",0,9.38724,27,1,,1,1,0,0,0,1,0,1,0,0,0,0,3,1,0,0,1,0,0,0,137.04,0,0,0,0,0,0,0,0,1,0,1,3,1,2.3405781,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9353235,2.240416,0,1,0,0,10440
"EMERGENCIAS, IMPREVISTOS",0,26.1816,25,0,,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.3025403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9585686,3.2654388,1,0,0,1,1092
"EMERGENCIAS, IMPREVISTOS",0,39.2724,56,0,,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,0,226
"",0,2.284,24,0,,1,0,0,0,0,1,0,1,0,0,0,0,3,4,0,1,0,1,0,0,8.565,0,0,0,0,0,0,0,0,1,1,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,11946
