motivo,depart,quant_saved,age,saved_formal,incentive,female,married,highschool_completed,reached_b4goal,bolivia,rem_any,provincia,wealthy,puzzle_ica,foto,rem_motive,peru,branch,marketer,joint,joint_single,dc,highint,rewardint,missing_inc,inc_7d,hyperbolic,missing_savamt,missing_havesaved,missing_savedwhere,missing_savwhynot,missing_satisfied,missing_satisfy,missing_regretspend,saved_asmuch,spent_b4isaved,philippines,country,late_rem_any,log_quant_saved,rem_any_peru,rem_any_phil,rem_any_boli,missing_female,missing_age,missing_highschool_completed,missing_married,missing_saved_formal,missing_inc_7d,missing_wealthy,missing_hyperbolic,missing_saved_asmuch,missing_spent_b4isaved,missing_number_account,ivhquant_saved,logalt_quant_saved,gain_rem,loss_rem,noincentive,rem_no_motive,masterid
"",0,2.284,19,0,,1,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,1,1,0,0,22.84,0,0,0,0,1,0,0,0,0,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,3564
"EMERGENCIAS, IMPREVISTOS",0,6.5454,35,0,,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.0209382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5776947,1.8802892,1,0,0,1,204
"",0,2.284,47,0,,1,1,1,0,0,0,0,1,0,0,0,0,2,8,1,0,0,1,0,0,34.26,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,10917
"EDUCACION",0,32.727,0,0,,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.5182986,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.181581,3.4885058,0,1,0,1,1863
"",0,2.284,51,0,,1,1,1,0,0,1,0,1,0,0,0,0,2,16,0,0,0,0,1,0,6.851999999999999,0,0,0,0,1,0,0,0,0,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,3863
"EMERGENCIAS, IMPREVISTOS",0,179.9985,29,0,,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.1984887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8861036,5.1930041,0,1,0,1,2406
"IMPLEMENTACION DE NEGOCIO",0,39.2724,23,0,,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,0,1238
"EMERGENCIAS, IMPREVISTOS",0,13.0908,0,0,,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.6455221,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.2665126,2.5726733,0,1,0,1,2454
"OTROS",0,78.5448,46,0,,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,0,1,0,1,2642
"",0,72.76618239257812,25,0,,1,1,1,1,0,1,0,0,0,0,0,0,2,8,0,0,0,0,1,0,34.26,0,0,0,0,0,0,0,0,1,1,1,3,0,4.3009005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9804459,4.2873888,0,1,0,0,6289
"",0,2.284,43,0,,1,1,0,0,0,1,0,0,0,0,0,0,2,5,1,0,0,1,0,0,41.5688,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,9877
"EMERGENCIAS, IMPREVISTOS",0,6.5454,44,0,,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.0209382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5776947,1.8802892,1,0,0,1,835
"OTROS",0,294.543,42,0,,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,5.6888142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3785748,5.6854591,0,1,0,0,256
"",0,2.284,34,0,,0,1,1,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,3396
"EDUCACION",0,13.0908,40,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,2.6455221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2665126,2.5726733,1,0,0,1,2459
"",0,39.5703,59,1,,0,1,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,1,0,11.42,0,0,0,0,0,0,0,0,1,1,1,3,1,3.7030363,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3713856,3.6783316,1,0,0,0,3827
"OTROS",0,39.2724,50,0,,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,0,2395
"OTROS",0,98.181,29,0,,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,0,2376
"EDUCACION",0,78.5448,43,0,,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,1,0,0,1,1970
"",0,2.284,26,1,,1,1,1,0,0,0,0,1,0,0,0,0,3,4,0,1,0,0,1,0,57.1,0,0,0,0,0,0,0,0,0,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,5409
"",0,2.284,25,1,,1,0,1,0,0,1,0,0,0,0,0,0,1,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,5904
"OTROS",0,196.362,0,0,,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.2850394,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,1,0,0,0,2390
"",0,2.284,39,0,,1,1,0,0,0,1,0,1,0,0,0,0,1,10,1,0,0,0,0,0,68.52,0,0,0,0,0,0,0,0,1,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,7544
"",0,2.284,35,0,,1,0,1,0,0,1,0,1,0,0,0,0,2,7,1,0,0,1,0,0,22.84,0,0,0,0,1,0,0,0,0,0,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,11917
"EDUCACION",0,392.724,32,1,,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,5.9756503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666256,5.9731326,0,0,0,0,935
"OTROS",0,183.2712,27,0,,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.2164087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9041219,5.2110214,1,0,0,0,239
"EQUIPAMIENTO DE LA CASA",0,78.5448,56,0,,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,1,0,0,1,209
"OTROS",0,39.2724,44,0,,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,2383
"EMERGENCIAS, IMPREVISTOS",0,78.5448,55,0,,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,1,0,0,1,794
"",0,2.284,20,0,,1,0,0,0,0,1,0,1,0,0,0,0,2,8,0,1,0,0,0,0,11.42,0,0,0,0,0,0,0,0,1,1,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,2923
"OTROS",0,32.727,36,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.5182986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.181581,3.4885058,1,0,0,1,824
"OTROS",0,39.2724,54,0,,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,529
"",0,2.284,41,1,,1,1,1,0,0,1,0,1,0,0,0,0,3,1,0,1,0,0,1,0,114.2,0,0,0,0,0,0,0,0,1,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,6422
"OTROS",0,32.727,20,1,,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.5182986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.181581,3.4885058,1,0,0,1,1414
"",0,2.284,56,1,,1,1,0,0,0,0,0,1,0,0,0,0,2,6,0,1,0,0,0,0,45.68,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,5275
"",0,2.284,24,1,,1,0,1,0,0,1,0,1,0,0,0,0,1,5,1,0,0,0,1,0,19.985,0,1,0,0,1,0,0,0,0,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,7591
"EQUIPAMIENTO DE LA CASA",0,3927.24,33,0,,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,8.2759466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9688396,8.2756948,0,0,0,0,1402
"EMERGENCIAS, IMPREVISTOS",0,179.9985,44,0,,0,0,1,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.1984887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8861036,5.1930041,1,0,0,1,2494
"",0,276.3671895703125,22,0,,1,1,0,1,0,1,0,1,0,0,0,0,2,8,0,1,1,1,0,0,31.976,0,0,0,0,0,0,0,0,1,0,1,3,1,5.6253424,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3148808,5.6217666,1,0,0,0,7569
"COMPRA DE VEHICULO",0,163.635,43,0,,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.1037307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7907948,5.0976996,1,0,0,1,2368
"",0,2.284,33,1,,0,1,1,0,0,0,0,1,0,0,0,0,2,8,0,0,0,1,0,0,28.55,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,10430
"OTROS",0,39.2724,55,0,,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,2366
"EDUCACION",0,196.362,51,0,,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,5.2850394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,0,0,0,0,875
"EDUCACION",0,39.2724,20,0,,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,2364
"OTROS",0,39.2724,31,0,,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,0,0,0,2362
"EMERGENCIAS, IMPREVISTOS",0,39.2724,48,0,,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,818
"EMERGENCIAS, IMPREVISTOS",0,26.1816,53,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.3025403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9585686,3.2654388,0,1,0,1,84
"",0,14.3892,46,0,,1,1,0,0,0,1,0,1,0,0,0,0,2,7,0,0,1,0,1,0,20.556,0,0,0,0,1,0,0,0,0,0,1,3,1,2.7336659,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3608303,2.6671727,0,1,0,0,6308
"EQUIPAMIENTO DE LA CASA",0,39.2724,50,0,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,30
"EMERGENCIAS, IMPREVISTOS",0,32.727,22,0,,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.5182986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.181581,3.4885058,0,1,0,1,2356
"EMERGENCIAS, IMPREVISTOS",0,78.5448,23,0,,1,0,1,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,0,1,0,1,2496
"OTROS",0,1178.172,76,0,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,7.0725679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7648668,7.0717278,0,0,0,0,2401
"OTROS",0,19.6362,0,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.0270469,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.6711698,2.9778841,1,0,0,1,2353
"",0,2.284,26,1,,1,0,1,0,0,1,0,1,0,0,0,0,1,11,0,0,0,0,1,0,26.266,0,0,0,0,0,0,0,0,1,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,3237
"OTROS",0,98.181,52,0,,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,0,1229
"OTROS",0,392.724,25,0,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.9756503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666256,5.9731326,0,1,0,1,2350
"EDUCACION",0,98.181,0,0,,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,1,2162
"",0,2.284,31,1,,1,1,1,0,0,1,0,0,0,0,0,0,1,11,0,1,0,1,0,0,31.976,0,0,0,0,0,0,0,0,1,1,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,6281
"",0,20.56011103271484,37,0,,1,1,1,0,0,1,0,1,0,0,0,0,1,5,1,0,0,1,0,0,155.312,1,0,0,0,1,0,0,0,0,0,1,3,0,3.0708449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7170908,3.023839,1,0,0,0,3180
"MEJORAMIENTO DE VIVIENDA",0,39.2724,52,0,,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,0,0,0,1471
"",0,2.284,25,1,,1,1,1,0,0,1,0,1,0,0,0,0,1,15,0,1,0,0,1,0,28.55,0,0,0,0,0,0,0,0,1,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,12926
"EMERGENCIAS, IMPREVISTOS",0,39.2724,35,0,,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,2344
"",0,2.284,40,0,,1,1,1,0,0,0,0,1,0,0,0,0,2,8,1,0,0,0,0,0,34.26,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,4571
"EDUCACION",0,98.181,29,0,,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,1,137
"",0,2.284,36,0,,0,0,1,0,0,1,0,1,0,0,0,0,1,5,1,0,0,0,1,0,39.97,1,0,0,0,1,0,0,0,0,0,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,5503
"EDUCACION",0,16.3635,25,0,,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.8543704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4891329,2.7956641,1,0,0,1,2340
"OTROS",0,392.724,36,0,,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.9756503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666256,5.9731326,1,0,0,0,2339
"EMERGENCIAS, IMPREVISTOS",0,39.2724,22,0,,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,0,1254
"OTROS",0,163.635,34,0,,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,5.1037307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7907948,5.0976996,0,0,0,0,71
"EMERGENCIAS, IMPREVISTOS",0,39.2724,55,0,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,31
"EVENTOS SOCIALES Y FAMILIARES",0,58.9086,25,0,,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.0928202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7692065,4.0761566,0,0,0,0,2377
"OTROS",0,196.362,21,0,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.2850394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,0,1,0,1,2334
"EDUCACION",0,196.362,35,0,,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.2850394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,1,0,0,0,2333
"EDUCACION",0,13.0908,30,0,,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.6455221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2665126,2.5726733,0,1,0,1,1811
"IMPLEMENTACION DE NEGOCIO",0,196.362,25,1,,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.2850394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,0,1,0,0,2331
"EMERGENCIAS, IMPREVISTOS",0,98.181,28,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,0,1,0,1,1911
"",0,2.284,49,1,,1,1,1,0,0,1,0,1,0,0,0,0,2,8,0,1,0,0,0,0,22.84,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,4562
"EDUCACION",0,39.2724,26,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,2328
"",0,2.284,27,0,,1,1,0,0,0,1,0,0,0,0,0,0,1,10,0,1,0,1,0,0,63.952,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,6322
"COMPRA DE TERRENO",0,392.724,19,0,,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,5.9756503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666256,5.9731326,1,0,0,0,2324
"EMERGENCIAS, IMPREVISTOS",0,39.2724,32,0,,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,0,1449
"EMERGENCIAS, IMPREVISTOS",0,98.181,57,0,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,0,1,0,1,264
"EMERGENCIAS, IMPREVISTOS",0,78.5448,30,0,,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.3763204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,0,1,0,0,1436
"",0,47.01751173828125,35,1,,0,1,1,1,0,1,0,1,0,0,0,0,3,3,0,1,0,1,0,0,9.135999999999999,0,0,0,0,0,0,0,0,1,1,1,3,1,3.8715658,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5437803,3.8507328,0,1,0,0,11833
"EMERGENCIAS, IMPREVISTOS",0,39.2724,35,0,,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,2758
"",0,10.278,54,0,,1,0,1,0,0,1,0,1,0,0,0,0,3,12,0,1,1,1,0,0,45.68,0,0,0,0,1,0,0,0,0,0,1,3,1,2.4228539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.025511,2.3309782,0,1,0,0,7468
"",0,68.52502413085938,36,1,,1,1,0,1,0,1,0,1,0,0,0,0,2,8,0,1,0,0,1,0,42.825,0,0,0,0,0,0,0,0,1,0,1,3,1,4.2416868,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9203992,4.227345,0,1,0,0,10115
"",0,2.284,49,1,,1,1,0,0,0,1,0,0,0,0,0,0,3,3,1,0,0,1,0,0,57.1,0,0,0,0,0,0,0,0,1,1,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,12039
"OTROS",0,39.2724,52,0,,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,0,0,0,2315
"IMPLEMENTACION DE NEGOCIO",0,981.8100000000001,19,0,,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,6.8904157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5825453,6.8894081,0,1,0,1,2314
"OTROS",0,196.362,27,0,,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.2850394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9731135,5.2800107,0,1,0,1,2270
"EMERGENCIAS, IMPREVISTOS",0,785.448,24,1,,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,6.6675267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3594017,6.6662669,1,0,0,0,519
"OTROS",0,39.2724,74,0,,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,0,0,0,2502
"COMPRA DE VEHICULO",0,98.181,40,0,,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,0,1,0,0,2310
"",0,16.50258586914062,33,1,,1,1,1,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,47.964,1,0,0,0,0,0,0,0,1,0,1,3,0,2.8623486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.497581,2.8041229,0,0,0,0,3115
"",0,2.284,24,0,,1,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1,0,1,0,0,14.275,0,0,0,0,0,0,0,0,1,1,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,8409
